,date,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveIncrease,states,total,totalTestResults,totalTestResultsIncrease,dateChecked,id_city,multiplication_factor
0,20200603,65328,626,78170,78170,21653,1006,5462,5202,4332655,102714,452,2457,2293,0,1167900,12696,35,0,12160975,287170,2020-06-02T24:00:00Z,1,0.6377137
1,20200604,141449,1355,169256,169256,46884,2178,11827,11264,9381165,222400,980,5321,4966,0,2528765,27490,77,0,26331223,621787,2020-06-02T24:00:00Z,1,1.3807924
2,20200605,135363,1297,161973,161973,44867,2085,11318,10779,8977520,212830,938,5092,4753,0,2419959,26307,73,0,25198267,595033,2020-06-02T24:00:00Z,1,1.3213809
3,20200606,69908,670,83651,83651,23171,1076,5845,5567,4636453,109916,484,2630,2454,0,1249791,13586,38,0,13013682,307306,2020-06-02T24:00:00Z,1,0.6824291
4,20200607,144659,1386,173096,173096,47948,2228,12096,11520,9594028,227446,1002,5442,5079,0,2586144,28113,79,0,26928692,635896,2020-06-02T24:00:00Z,1,1.4121232
5,20200608,118040,1131,141244,141244,39125,1818,9870,9400,7828616,185593,818,4440,4144,0,2110263,22940,64,0,21973502,518883,2020-06-02T24:00:00Z,1,1.1522763
6,20200609,140082,1342,167619,167619,46431,2157,11713,11155,9290463,220249,970,5270,4918,0,2504315,27224,76,0,26076641,615775,2020-06-02T24:00:00Z,1,1.3674423
7,20200610,124473,1193,148943,148943,41257,1917,10408,9912,8255298,195709,862,4682,4370,0,2225279,24190,68,0,23171120,547164,2020-06-02T24:00:00Z,1,1.2150786
8,20200611,94801,908,113437,113437,31422,1460,7927,7549,6287378,149055,657,3566,3328,0,1694811,18424,51,0,17647525,416729,2020-06-02T24:00:00Z,1,0.9254248
9,20200612,148131,1419,177251,177251,49099,2281,12386,11796,9824304,232905,1026,5572,5201,0,2648216,28788,80,0,27575034,651158,2020-06-02T24:00:00Z,1,1.4460169
10,20200613,69734,668,83443,83443,23114,1074,5831,5553,4624930,109643,483,2623,2448,0,1246685,13552,38,0,12981338,306542,2020-06-02T24:00:00Z,1,0.68073297
11,20200614,68363,655,81802,81802,22659,1053,5716,5444,4533947,107486,473,2571,2400,0,1222160,13286,37,0,12725965,300511,2020-06-02T24:00:00Z,1,0.6673414
12,20200615,70235,673,84042,84042,23280,1081,5872,5593,4658110,110430,486,2642,2466,0,1255629,13649,38,0,13074467,308741,2020-06-02T24:00:00Z,1,0.6856166
13,20200616,87458,838,104651,104651,28988,1347,7313,6964,5800392,137510,606,3290,3070,0,1563540,16997,47,0,16280645,384452,2020-06-02T24:00:00Z,1,0.8537465
14,20200617,151534,1452,181323,181323,50227,2334,12671,12067,10049982,238255,1050,5700,5320,0,2709050,29450,82,0,28208473,666116,2020-06-02T24:00:00Z,1,1.4792341
15,20200618,77633,744,92894,92894,25732,1195,6491,6182,5148768,122062,538,2920,2725,0,1387890,15087,42,0,14451656,341262,2020-06-02T24:00:00Z,1,0.7578355
16,20200619,161424,1547,193157,193157,53505,2486,13498,12855,10705894,253805,1118,6073,5668,0,2885856,31372,88,0,30049498,709590,2020-06-02T24:00:00Z,1,1.5757762
17,20200620,58503,560,70003,70003,19391,901,4891,4658,3880024,91984,405,2200,2054,0,1045890,11369,31,0,10890522,257169,2020-06-02T24:00:00Z,1,0.57109195
18,20200621,146748,1406,175596,175596,48641,2260,12270,11686,9732583,230731,1017,5520,5152,0,2623492,28519,80,0,27317591,645079,2020-06-02T24:00:00Z,1,1.4325168
19,20200622,61774,592,73918,73918,20475,951,5165,4919,4096993,97127,428,2324,2169,0,1104376,12005,33,0,11499514,271550,2020-06-02T24:00:00Z,1,0.6030271
20,20200623,98340,942,117672,117672,32595,1514,8223,7831,6522095,154619,681,3699,3453,0,1758080,19112,53,0,18306335,432287,2020-06-02T24:00:00Z,1,0.9599724
21,20200624,128477,1231,153733,153733,42584,1979,10743,10231,8520807,202003,890,4833,4511,0,2296849,24969,70,0,23916357,564762,2020-06-02T24:00:00Z,1,1.2541583
22,20200625,64823,621,77566,77566,21486,998,5420,5162,4299178,101920,449,2438,2276,0,1158876,12598,35,0,12067012,284951,2020-06-02T24:00:00Z,1,0.63278633
